"assignment.id","worker.id","trial.num","rule.id","rule.desc","example.num","polarity","string","time"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",1,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",1,"positive","65981","1494008430200"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",1,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",2,"positive","759621","1494008443987"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",1,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",3,"negative","45515151","1494008454790"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",2,"suffix-s","The string must end in <code>s</code>",1,"positive","dfsdfkjnms","1494008537560"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",2,"suffix-s","The string must end in <code>s</code>",2,"positive","12475634s","1494008544408"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",2,"suffix-s","The string must end in <code>s</code>",3,"positive","sddvcvt56743212s","1494008550995"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",2,"suffix-s","The string must end in <code>s</code>",4,"negative","dfgfgfhgfhto","1494008565603"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",2,"suffix-s","The string must end in <code>s</code>",5,"negative","ffdgddfg654","1494008572241"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",2,"suffix-s","The string must end in <code>s</code>",6,"negative","43434556789","1494008578569"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",3,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",1,"positive","aaaaaa","1494008665853"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",3,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",2,"positive","aaa","1494008669103"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",3,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",3,"positive","aaaaaaaaa","1494008672164"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",3,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",4,"negative","aa","1494008685110"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",3,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",5,"negative","a","1494008688594"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[12djdsnr]","1494008752311"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"positive","[3444534]","1494008769875"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"negative","[342423434","1494008778858"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"negative","dfsdfsafggadf]","1494008787391"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",1,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[123456]","1494010516117"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",1,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"negative","123456","1494010524388"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",1,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"negative","abcdefg","1494010528684"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",1,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"positive","[abcdefg]","1494010535481"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",2,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",1,"negative","abcde","1494010569149"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",2,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",2,"positive","12345","1494010581796"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",2,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",3,"negative","123456","1494010587619"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",2,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",4,"positive","23456","1494010596395"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",2,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",5,"positive","98765","1494010606425"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",3,"suffix-s","The string must end in <code>s</code>",1,"negative","horse","1494010621078"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",3,"suffix-s","The string must end in <code>s</code>",2,"positive","horses","1494010634669"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",3,"suffix-s","The string must end in <code>s</code>",3,"positive","this","1494010638940"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",3,"suffix-s","The string must end in <code>s</code>",4,"negative","that","1494010643778"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",3,"suffix-s","The string must end in <code>s</code>",5,"positive","123456s","1494010648210"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",3,"suffix-s","The string must end in <code>s</code>",6,"negative","123456d","1494010664768"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",1,"positive","aaa","1494010683334"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",2,"positive","aaaa","1494010686686"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",3,"positive","aaaaa","1494010690877"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",4,"negative","123","1494010695996"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",5,"negative","bbb","1494010700683"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",6,"negative","aab","1494010703987"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",7,"negative","abb","1494010714035"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",8,"negative","horse","1494010716577"
"30X31N5D63QEVYXQCEBLRF391YMSAB","6f2ca8f",1,"zip-code","The string is exactly 5 characters long and contains only numeric digits (<code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, or <code>9</code>)",1,"positive","12345678","1494009072355"
"30X31N5D63QEVYXQCEBLRF391YMSAB","6f2ca8f",2,"suffix-s","The string must end in <code>s</code>",1,"positive","112s","1494009082999"
"30X31N5D63QEVYXQCEBLRF391YMSAB","6f2ca8f",2,"suffix-s","The string must end in <code>s</code>",2,"negative","s","1494009089030"
"30X31N5D63QEVYXQCEBLRF391YMSAB","6f2ca8f",3,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[hello]","1494009099164"
"30X31N5D63QEVYXQCEBLRF391YMSAB","6f2ca8f",4,"3a","The string contains <i>only</i> lowercase <code>a</code>'s (no other characters are allowed) and there must be at least 3 <code>a</code>'s in the string",1,"positive","aaa","1494009116752"
"317HQ483I7SWL3OJG6MC9JHMR7LINV","032d129",1,"suffix-s","The string must end in <code>s</code>",1,"positive","cats","1494013921001"
"317HQ483I7SWL3OJG6MC9JHMR7LINV","032d129",1,"suffix-s","The string must end in <code>s</code>",2,"positive","dogs","1494013927709"
"317HQ483I7SWL3OJG6MC9JHMR7LINV","032d129",1,"suffix-s","The string must end in <code>s</code>",3,"negative","dog","1494013932658"
"317HQ483I7SWL3OJG6MC9JHMR7LINV","032d129",1,"suffix-s","The string must end in <code>s</code>",4,"negative","cat","1494013937700"
"317HQ483I7SWL3OJG6MC9JHMR7LINV","032d129",2,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[dog]","1494013969074"
"317HQ483I7SWL3OJG6MC9JHMR7LINV","032d129",2,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"negative","dog","1494013977790"
